Id,judgingRuleId,judgingRuleName,criteriaName,criteriaDescription,subCriteriaName,subCriteriaDescription,subCriteriaValueType,subCriteriaRangeFrom,subCriteriaRangeTo,criteriaUiLayout,subCriteriaUiPosition
11111111-0000-0000-0000-000000000000,11111111-0000-0000-0000-000000000000,speed,count,count,count,count,integer,0,1000,1-3x1,1
11111111-0000-0000-0000-000000000000,11111111-0000-0000-0000-000000000000,speed,count,count,falseStart,falseStart,integer,0,1,1-3x1,2
11111111-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,difficulty,difficulty,level2,level2,integer,0,10,3x3,3
11111111-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,difficulty,difficulty,level3,level3,integer,0,19,3x3,4
11111111-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,difficulty,difficulty,level4,level4,integer,0,13,3x3,6
11111111-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,difficulty,difficulty,level5,level5,integer,0,29,3x3,7
11111111-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,variation,variation,setOfCrosses,setOfCrosses,integer,0,8,3x3,1
11111111-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,variation,variation,setOfMultiples,setOfMultiples,integer,0,8,3x3,4
11111111-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,variation,variation,setOfDirectionChanges,setOfDirectionChanges,integer,0,3,3x3,7
11111111-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,variation,variation,gymnastics,gymnastics,integer,0,3,3x3,2
11111111-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,variation,variation,powers,powers,integer,0,3,3x3,5
11111111-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,variation,variation,releases,releases,integer,0,3,3x3,3
11111111-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,variation,variation,wraps,wraps,integer,0,2,3x3,6
11111111-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,presentation,presentation,imRichtigenRhythmus,imRichtigenRhythmus,integer,0,100,3x3,1
11111111-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,presentation,presentation,gebrauchDerMusikakzente,gebrauchDerMusikakzente,integer,0,20,3x3,4
11111111-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,presentation,presentation,ausführungDerSprünge,ausführungDerSprünge,integer,0,20,3x3,7
11111111-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,presentation,presentation,originellesUndSpektakuläres,originellesUndSpektakuläres,integer,0,10,3x3,2
11111111-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,presentation,presentation,bewegung,bewegung,integer,0,100,3x3,5
11111111-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,presentation,presentation,ausnützungDerWettkampffläche,ausnützungDerWettkampffläche,integer,1,5,3x3,3
11111111-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,presentation,presentation,präsentationNachAussen,präsentationNachAussen,integer,0,100,3x3,6
11111111-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,presentation,presentation,gesamteindruck,gesamteindruck,integer,0,100,3x3,9
11111111-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,deduction,deduction,kleineFehler,kleineFehler,integer,0,50,3x3,1
11111111-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,deduction,deduction,grosseFehler,grosseFehler,integer,0,50,3x3,4
11111111-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,deduction,deduction,zeitüberschreitung,zeitüberschreitung,integer,0,1,3x3,3
11111111-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,deduction,deduction,überschreitungDerWettkampffläche,überschreitungDerWettkampffläche,integer,0,20,3x3,6
11111111-0000-0000-0000-000000000005,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,difficultyAdvanced,difficultyAdvanced,level1,level1,integer,0,15,3x3,1
11111111-0000-0000-0000-000000000005,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,difficultyAdvanced,difficultyAdvanced,level2,level2,integer,0,26,3x3,3
11111111-0000-0000-0000-000000000005,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,difficultyAdvanced,difficultyAdvanced,level3,level3,integer,0,20,3x3,4
11111111-0000-0000-0000-000000000005,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,difficultyAdvanced,difficultyAdvanced,level4,level4,integer,0,15,3x3,6
11111111-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,variation,variation,setOfCrosses,setOfCrosses,integer,0,8,3x3,1
11111111-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,variation,variation,setOfMultiples,setOfMultiples,integer,0,8,3x3,4
11111111-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,variation,variation,setOfDirectionChanges,setOfDirectionChanges,integer,0,3,3x3,7
11111111-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,variation,variation,gymnastics,gymnastics,integer,0,3,3x3,2
11111111-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,variation,variation,powers,powers,integer,0,3,3x3,5
11111111-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,variation,variation,releases,releases,integer,0,3,3x3,3
11111111-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,variation,variation,wraps,wraps,integer,0,2,3x3,6
11111111-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,presentation,presentation,imRichtigenRhythmus,imRichtigenRhythmus,integer,0,100,3x3,1
11111111-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,presentation,presentation,gebrauchDerMusikakzente,gebrauchDerMusikakzente,integer,0,20,3x3,4
11111111-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,presentation,presentation,ausführungDerSprünge,ausführungDerSprünge,integer,0,20,3x3,7
11111111-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,presentation,presentation,originellesUndSpektakuläres,originellesUndSpektakuläres,integer,0,10,3x3,2
11111111-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,presentation,presentation,bewegung,bewegung,integer,0,100,3x3,5
11111111-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,presentation,presentation,ausnützungDerWettkampffläche,ausnützungDerWettkampffläche,integer,1,5,3x3,3
11111111-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,presentation,presentation,präsentationNachAussen,präsentationNachAussen,integer,0,100,3x3,6
11111111-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,presentation,presentation,gesamteindruck,gesamteindruck,integer,0,100,3x3,9
11111111-0000-0000-0000-000000000008,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,deduction,deduction,kleineFehler,kleineFehler,integer,0,50,3x3,1
11111111-0000-0000-0000-000000000008,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,deduction,deduction,grosseFehler,grosseFehler,integer,0,50,3x3,4
11111111-0000-0000-0000-000000000008,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,deduction,deduction,zeitüberschreitung,zeitüberschreitung,integer,0,1,3x3,3
11111111-0000-0000-0000-000000000008,11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,deduction,deduction,überschreitungDerWettkampffläche,überschreitungDerWettkampffläche,integer,0,20,3x3,6
11111111-0000-0000-0000-000000000009,11111111-0000-0000-0000-000000000003,singleCompulsoryIntermediate,ausführungKriterium,ausführungKriterium,,,integer,0,14,3x3,1
11111111-0000-0000-0000-000000000009,11111111-0000-0000-0000-000000000003,singleCompulsoryIntermediate,ausführungReihenfolge,ausführungReihenfolge,,,integer,0,15,3x3,2
11111111-0000-0000-0000-000000000009,11111111-0000-0000-0000-000000000003,singleCompulsoryIntermediate,hänger,hänger,,,integer,0,14,3x3,3
11111111-0000-0000-0000-000000000009,11111111-0000-0000-0000-000000000003,singleCompulsoryIntermediate,musik,musik,,,integer,0,14,3x3,4
11111111-0000-0000-0000-000000000009,11111111-0000-0000-0000-000000000003,singleCompulsoryIntermediate,bonus,bonus,,,integer,0,1,3x3,6
11111111-0000-0000-0000-000000000010,11111111-0000-0000-0000-000000000004,singleCompulsoryBeginners,sprungfolge,sprungfolge,,,integer,0,10,3x2,1
11111111-0000-0000-0000-000000000010,11111111-0000-0000-0000-000000000004,singleCompulsoryBeginners,ausführung,ausführung,,,integer,0,25,3x2,3
11111111-0000-0000-0000-000000000011,11111111-0000-0000-0000-000000000005,singleTripleUnders,count,count,,,integer,0,1000,1-3x1,1
