id,judgingRuleName,judgingRuleDescription
11111111-0000-0000-0000-000000000000,speed,Single or Team: Single Rope Relay & Double Dutch Relay
11111111-0000-0000-0000-000000000001,singleFreestyleSingleRopeErso,Single Freestyle Single Rope Erso
11111111-0000-0000-0000-000000000002,singleFreestyleSingleRopeAdvanced,Single Freestyle Single Rope Advanced
11111111-0000-0000-0000-000000000003,singleCompulsoryIntermediate,Single Compulsory Intermediate
11111111-0000-0000-0000-000000000004,singleCompulsoryBeginners,Single Compulsory Beginners
11111111-0000-0000-0000-000000000005,singleTripleUnders,Single Triple Unders
11111111-0000-0000-0000-000000000006,teamFreestyleSingleRopePairErso,Team Freestyle Single Rope Pair Erso
11111111-0000-0000-0000-000000000007,teamFreestyleSingleRopeTeamErso,Team Freestyle Single Rope Team Erso
11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,Team Freestyle Double Dutch Single Erso
11111111-0000-0000-0000-000000000009,teamShow,Team Show
